Disease,Description
AIDS,"Hội chứng suy giảm miễn dịch mắc phải (AIDS) là một tình trạng mãn tính, có thể đe dọa đến tính mạng, do virus suy giảm miễn dịch ở người (HIV) gây ra. Bằng cách làm hỏng hệ thống miễn dịch của bạn, HIV can thiệp vào khả năng của cơ thể bạn trong việc chống lại nhiễm trùng và bệnh tật."
Mụn,"Mụn trứng cá vulgaris là sự hình thành comedones, papules, pustules, nodules và/hoặc cysts do sự tắc nghẽn và viêm của các đơn vị pilosebaceous (nang lông và tuyến bã nhờn đi kèm). Mụn phát triển trên mặt và phần thân trên. Nó thường ảnh hưởng đến thanh thiếu niên."
Viêm gan do rượu,"Viêm gan do rượu là một tình trạng bệnh lý, viêm của gan do tiêu thụ rượu nặng trong một thời gian dài. Nó cũng bị kích thích bởi việc uống rượu nhiều lần và sử dụng rượu liên tục. Nếu bạn phát triển tình trạng này, bạn phải ngừng uống rượu."
Dị ứng,"Dị ứng là phản ứng của hệ thống miễn dịch đối với một chất lạ mà không thường gây hại cho cơ thể bạn. Chúng có thể bao gồm một số loại thực phẩm, phấn hoa hoặc lông thú cưng. Nhiệm vụ của hệ thống miễn dịch của bạn là giữ cho bạn khỏe mạnh bằng cách chống lại các tác nhân gây bệnh nguy hiểm."
Viêm khớp,"Viêm khớp là hiện tượng sưng tấy và nhạy cảm của một hoặc nhiều khớp. Những triệu chứng chính của viêm khớp là đau và cứng khớp, thường trở nên tồi tệ hơn theo tuổi tác. Các loại viêm khớp phổ biến nhất là viêm khớp thoái hóa và viêm khớp dạng thấp."
Hen phế quản,"Hen phế quản là một tình trạng y tế gây sưng và thu hẹp đường thở của phổi. Do sự sưng này, đường thở sản xuất quá nhiều chất nhầy, làm khó thở, dẫn đến ho, khó thở và thở khò khè. Bệnh này là mãn tính và gây ảnh hưởng đến công việc hàng ngày."
Thoái hóa đốt sống,"Thoái hóa cột sống cổ là một thuật ngữ chung cho sự hao mòn liên quan đến tuổi tác ảnh hưởng đến các đĩa cột sống ở cổ bạn. Khi các đĩa mất nước và co lại, các dấu hiệu viêm khớp thoái hóa phát triển, bao gồm các sự phát triển xương ở các cạnh của xương (đau xương)."
Thủy đậu,"Thủy đậu là một bệnh truyền nhiễm rất dễ lây do virus varicella-zoster (VZV) gây ra. Nó có thể gây ra một phát ban ngứa, giống như vết nước. Phát ban xuất hiện lần đầu trên ngực, lưng và mặt, sau đó lan ra toàn bộ cơ thể, gây ra từ 250 đến 500 vết nước ngứa."
Ứ mật mãn tính,"Các bệnh Ứ mật mãn tính, dù xảy ra ở trẻ sơ sinh, trẻ em hay người lớn, được đặc trưng bởi sự vận chuyển axit mật bị khuyết tật từ gan đến ruột, thường do tổn thương ban đầu của niêm mạc đường mật."
Cảm lạnh,"Cảm lạnh là một bệnh nhiễm virus ở mũi và họng của bạn (đường hô hấp trên). Nó thường không gây hại, mặc dù có thể không cảm thấy như vậy. Nhiều loại virus có thể gây cảm lạnh."
Covid,"COVID-19 (Virus Corona) ảnh hưởng đến những người khác nhau theo những cách khác nhau. Nó ảnh hưởng đến phổi. Hầu hết những người nhiễm bệnh sẽ phát triển triệu chứng nhẹ đến trung bình và hồi phục mà không cần nhập viện."
Sốt xuất huyết,"Một bệnh truyền nhiễm cấp tính do virus flavivirus (loài virus sốt xuất huyết thuộc họ Flavivirus) gây ra, lây truyền qua muỗi aedes và đặc trưng bởi đau đầu, đau khớp nghiêm trọng và phát ban. — còn được gọi là sốt gãy xương, sốt xuất huyết."
Tiểu đường,"Bệnh tiểu đường là một bệnh xảy ra khi lượng glucose trong máu của bạn, còn gọi là đường huyết, quá cao. Glucose là nguồn năng lượng chính của bạn và đến từ thực phẩm bạn ăn. Insulin, một hormone do tuyến tụy sản xuất, giúp glucose từ thực phẩm đi vào tế bào của bạn để được sử dụng làm năng lượng."
Bệnh trĩ,"Trĩ, cũng được viết là haemorrhoids, là các cấu trúc mạch máu trong ống hậu môn. Trong ... Các tên khác, Haemorrhoids, trĩ, bệnh trĩ."
Phản ứng với thuốc,"Phản ứng thuốc bất lợi (ADR) là một chấn thương do việc sử dụng thuốc. ADR có thể xảy ra sau một liều duy nhất hoặc việc sử dụng thuốc kéo dài hoặc do sự kết hợp của hai loại thuốc trở lên."
Nhiễm nấm,"Ở người, nhiễm nấm xảy ra khi một loại nấm xâm lấn chiếm lấy một khu vực của cơ thể và vượt quá khả năng của hệ thống miễn dịch để xử lý. Nấm có thể sống trong không khí, đất, nước và thực vật. Một số nấm sống tự nhiên trong cơ thể người. Cũng như nhiều vi sinh vật, có nấm hữu ích và nấm gây hại."
Trào ngược dạ dày thực quản,"Bệnh trào ngược dạ dày thực quản, hay GERD, là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản dưới (LES), vòng cơ giữa thực quản và dạ dày. Nhiều người, bao gồm cả phụ nữ mang thai, bị ợ nóng hoặc khó tiêu do GERD."
Viêm dạ dày ruột,"Viêm dạ dày ruột là sự viêm nhiễm của đường tiêu hóa, đặc biệt là dạ dày, và ruột lớn và ruột nhỏ. Viêm dạ dày ruột do virus và vi khuẩn là các nhiễm trùng đường ruột liên quan đến triệu chứng tiêu chảy, chuột rút bụng, buồn nôn và nôn mửa."
Đau tim,"Sự chết của cơ tim do mất cung cấp máu. Mất cung cấp máu thường do tắc nghẽn hoàn toàn một động mạch vành, một trong những động mạch cung cấp máu cho cơ tim."
Viêm gan A,"Viêm gan A là một bệnh nhiễm trùng gan rất dễ lây do virus viêm gan A gây ra. Virus là một trong nhiều loại virus viêm gan gây viêm và ảnh hưởng đến khả năng hoạt động của gan."
Viêm gan B,"Viêm gan B là một bệnh nhiễm trùng gan của bạn. Nó có thể gây ra sẹo cho cơ quan này, suy gan và ung thư. Nó có thể gây chết người nếu không được điều trị. Nó lây lan khi mọi người tiếp xúc với máu, vết thương hở hoặc dịch cơ thể của người nhiễm virus viêm gan B."
Viêm gan C,"Viêm gan do virus viêm gan C (HCV), thường lây truyền qua truyền máu (hiếm) và tiêm chích bằng kim. Tổn thương mà viêm gan C gây ra cho gan có thể dẫn đến xơ gan và các biến chứng của nó cũng như ung thư."
Viêm gan D,"Viêm gan D, còn được gọi là virus viêm gan delta, là một bệnh nhiễm trùng gây viêm gan. Sự sưng này có thể làm suy giảm chức năng gan và gây ra các vấn đề nghiêm trọng về gan lâu dài, bao gồm sẹo gan và ung thư. Tình trạng này do virus viêm gan D (HDV) gây ra."
Viêm gan E,"Một hình thức viêm gan hiếm gặp do nhiễm virus viêm gan E (HEV). Nó lây truyền qua thực phẩm hoặc đồ uống do người nhiễm bệnh xử lý hoặc qua nguồn nước bị ô nhiễm ở những khu vực có phân có thể vào nước. Viêm gan E không gây ra bệnh gan mãn tính."
Tăng huyết áp,"Tăng huyết áp (HTN hoặc HT), còn được gọi là huyết áp cao (HBP), là một tình trạng y tế lâu dài trong đó huyết áp trong động mạch luôn ở mức cao. Huyết áp cao thường không gây ra triệu chứng."
Cường giáp,"Cường giáp (tuyến giáp hoạt động quá mức) xảy ra khi tuyến giáp của bạn sản xuất quá nhiều hormone thyroxine. Cường giáp có thể tăng tốc độ trao đổi chất của cơ thể bạn, dẫn đến giảm cân không mong muốn và nhịp tim nhanh hoặc bất thường."
Hạ đường huyết,"Hạ đường huyết là một tình trạng trong đó mức đường huyết (glucose) của bạn thấp hơn bình thường. Glucose là nguồn năng lượng chính của cơ thể bạn. Hạ đường huyết thường liên quan đến việc điều trị tiểu đường. Nhưng các loại thuốc khác và nhiều tình trạng — nhiều trong số đó hiếm gặp — có thể gây ra hạ đường huyết ở những người không bị tiểu đường."
Suy giáp,"Suy giáp, còn được gọi là hoạt động kém của tuyến giáp hoặc tuyến giáp thấp, là một rối loạn của hệ thống nội tiết trong đó tuyến giáp không sản xuất đủ hormone tuyến giáp."
Bệnh chốc,"Bệnh chốc (im-puh-TIE-go) là một bệnh Bệnh chốc phổ biến và rất dễ lây, chủ yếu ảnh hưởng đến trẻ sơ sinh và trẻ nhỏ. Bệnh chốc thường xuất hiện dưới dạng các vết thương đỏ trên mặt, đặc biệt là xung quanh mũi và miệng trẻ và trên tay và chân. Các vết thương vỡ ra và phát triển thành lớp vỏ màu vàng."
Vàng da,"Sự đổi màu vàng của da và lòng trắng mắt do mức độ bilirubin trong máu cao bất thường. Sự vàng da mở rộng đến các mô và dịch cơ thể khác. Vàng da từng được gọi là Morbus regius (bệnh hoàng gia) với niềm tin rằng chỉ có bàn tay của một vị vua mới có thể chữa khỏi nó."
Sốt rét,"Một bệnh truyền nhiễm do các loài ký sinh trùng đơn bào thuộc họ Plasmodium gây ra, có thể lây truyền qua vết cắn của muỗi Anopheles hoặc qua kim tiêm hoặc truyền máu bị ô nhiễm. Sốt rét do falciparum là loại nguy hiểm nhất."
Đau nửa đầu,"Đau nửa đầu có thể gây ra cơn đau thành từng đợt dữ dội hoặc cảm giác đập mạnh, thường xảy ra ở một bên đầu. Nó thường đi kèm với buồn nôn, nôn mửa và nhạy cảm cực độ với ánh sáng và âm thanh. Cơn đau nửa đầu có thể kéo dài từ vài giờ đến vài ngày, và cơn đau có thể nghiêm trọng đến mức làm gián đoạn các hoạt động hàng ngày của bạn."
Viêm xương khớp,"Viêm xương khớp là dạng viêm khớp phổ biến nhất, ảnh hưởng đến hàng triệu người trên toàn thế giới. Nó xảy ra khi sụn bảo vệ giữa các đầu xương của bạn hao mòn theo thời gian."
Xuất huyết não,"Xuất huyết nội sọ (ICH) là khi máu bất ngờ vỡ vào mô não, gây tổn hại cho não của bạn. Các triệu chứng thường xuất hiện đột ngột trong khi ICH. Chúng bao gồm đau đầu, yếu đuối, nhầm lẫn và liệt, đặc biệt là ở một bên cơ thể của bạn."
Chóng mặt kịch phát,"Chóng mặt tư thế kịch phát là một trong những nguyên nhân phổ biến nhất của chóng mặt — cảm giác đột ngột rằng bạn đang quay cuồng hoặc bên trong đầu bạn đang quay cuồng. Chóng mặt tư thế kịch phát gây ra các cơn chóng mặt nhẹ đến mãnh liệt."
Loét dạ dày tá tràng,"Bệnh loét dạ dày (PUD) là một vết nứt trong lớp niêm mạc dạ dày, phần đầu tiên của ruột non, hoặc đôi khi ở thực quản dưới. Một vết loét trong dạ dày được gọi là loét dạ dày, trong khi một vết loét ở phần đầu tiên của ruột được gọi là loét tá tràng."
Viêm phổi,"Viêm phổi là tình trạng nhiễm trùng ở một hoặc cả hai phổi. Vi khuẩn, virus và nấm gây ra nó. Nhiễm trùng này gây viêm ở các túi khí trong phổi của bạn, gọi là phế nang. Các phế nang này lấp đầy bằng dịch hoặc mủ, làm khó thở."
Vảy nến,"Bệnh vảy nến là một rối loạn da phổ biến hình thành các mảng da dày, đỏ, có vảy bạc. Chúng có thể xuất hiện ở bất kỳ đâu, nhưng phần lớn xuất hiện ở da đầu, khuỷu tay, đầu gối và lưng dưới. Bệnh vảy nến không thể truyền từ người này sang người khác. Nó đôi khi xảy ra ở các thành viên trong cùng một gia đình."
Lao,"Bệnh lao (TB) là một bệnh truyền nhiễm thường do vi khuẩn Mycobacterium tuberculosis (MTB) gây ra. Bệnh lao thường ảnh hưởng đến phổi, nhưng cũng có thể ảnh hưởng đến các bộ phận khác của cơ thể. Hầu hết các trường hợp nhiễm bệnh không có triệu chứng, trong trường hợp này được gọi là bệnh lao tiềm ẩn."
Bệnh thương hàn,"Một bệnh cấp tính đặc trưng bởi sốt do nhiễm trùng với vi khuẩn Salmonella typhi. Sốt thương hàn có sự khởi phát âm thầm, với sốt, đau đầu, táo bón, khó chịu, ớn lạnh và đau cơ. Tiêu chảy là hiếm thấy và nôn mửa không thường nghiêm trọng."
Nhiễm trùng tiết niệu,"Nhiễm trùng đường tiết niệu: Một nhiễm trùng ở thận, niệu quản, bblăi hay niệu đạo. Viết tắt là UTI. Không phải ai bị UTI cũng có triệu chứng, nhưng những triệu chứng phổ biến bao gồm nhu cầu tiểu tiện thường xuyên và cảm thấy đau hoặc rát khi tiểu tiện."
Giản tĩnh mạch,"Một tĩnh mạch đã mở rộng và xoắn, thường xuất hiện như một mạch máu màu xanh phình ra, rõ ràng nhìn thấy qua da. Giản tĩnh mạch thường gặp ở người lớn tuổi, đặc biệt là phụ nữ và xảy ra chủ yếu ở chân."
